format,date,opponent,venue,result,nepal_runs,nepal_wickets_lost,opponent_runs,opponent_wickets_lost
ODI,"August 14, 2010",United States of America,Ovale di Rastignano,No Result,51,2,,
ODI,"August 18, 2010",Argentina,Centro Sportivo Dozza,Won,194,2,193.0,8.0
ODI,"August 19, 2010",United States of America,Ovale di Rastignano,Lost,148,10,203.0,8.0
ODI,"August 20, 2010",Cayman Islands,Centro Sportivo Ca'Nova,Won,70,3,69.0,10.0
ODI,"September 03, 2012",Singapore,Selangor Turf Club,Won,112,5,111.0,10.0
ODI,"September 04, 2012",Tanzania,Bayuemas Oval,Won,83,2,82.0,10.0
ODI,"September 06, 2012",Malaysia,Selangor Turf Club,Won,71,0,69.0,10.0
ODI,"September 07, 2012",United States of America,Kinrara Academy Oval,Won,258,8,226.0,10.0
ODI,"September 09, 2012",Denmark,Kinrara Academy Oval,Won,240,10,130.0,9.0
ODI,"April 28, 2013",United States of America,Somerset Cricket Club,Lost,272,10,366.0,6.0
ODI,"May 01, 2013",Bermuda,"Lords, St David's Cricket Club Ground",Won,107,2,106.0,10.0
ODI,"May 04, 2013",Italy,"Lords, St David's Cricket Club Ground",Won,129,2,127.0,9.0
ODI,"May 05, 2013",Uganda,National Stadium,Won,153,5,151.0,8.0
ODI,"May 01, 2014",United Arab Emirates,Selangor Turf Club,Won,195,6,191.0,10.0
ODI,"May 02, 2014",Malaysia,Bayuemas Oval,Won,150,5,149.0,10.0
ODI,"May 05, 2014",Hong Kong,Bayuemas Oval,Won,147,3,181.0,10.0
ODI,"October 23, 2014",Uganda,Kinrara Academy Oval,Lost,183,10,203.0,8.0
ODI,"October 24, 2014",Bermuda,Selangor Turf Club,Won,101,2,100.0,10.0
ODI,"October 27, 2014",United States of America,Kinrara Academy Oval,No Result,27,3,204.0,10.0
ODI,"October 29, 2014",Malaysia,Selangor Turf Club,Won,89,2,142.0,10.0
ODI,"October 30, 2014",Uganda,Kinrara Academy Oval,Won,223,10,161.0,10.0
ODI,"January 17, 2015",Uganda,Affies Park,Lost,144,10,146.0,10.0
ODI,"January 18, 2015",Netherlands,United Cricket Club Ground,Won,159,8,158.0,10.0
ODI,"January 20, 2015",Canada,Wanderers Cricket Ground,Won,115,3,114.0,10.0
ODI,"January 21, 2015",Namibia,United Cricket Club Ground,Won,146,7,142.0,10.0
ODI,"January 23, 2015",Kenya,Affies Park,Lost,194,10,195.0,5.0
ODI,"January 24, 2015",Kenya,Affies Park,Lost,193,10,208.0,9.0
ODI,"November 14, 2015",Oman,Sheikh Zayed Stadium Nursery 1,Lost,184,10,187.0,7.0
ODI,"November 16, 2015",Papua New Guinea,Sheikh Zayed Stadium,Lost,232,8,235.0,8.0
ODI,"November 18, 2015",Papua New Guinea,Sheikh Zayed Stadium,Lost,224,8,225.0,7.0
ODI,"April 16, 2016",Namibia,Tribhuvan University International Cricket Ground,Won,197,5,195.0,9.0
ODI,"April 18, 2016",Namibia,Tribhuvan University International Cricket Ground,Won,240,7,239.0,9.0
ODI,"August 13, 2016",Netherlands,VRA Ground,Lost,94,10,96.0,3.0
ODI,"March 11, 2017",Kenya,Tribhuvan University International Cricket Ground,Lost,112,8,98.0,5.0
ODI,"March 13, 2017",Kenya,Tribhuvan University International Cricket Ground,Won,160,3,155.0,10.0
ODI,"October 13, 2017",Hong Kong,"Mission Road Ground, Mong Kok",Lost,111,10,194.0,10.0
ODI,"December 06, 2017",United Arab Emirates,Sheikh Zayed Stadium,Lost,221,6,225.0,3.0
ODI,"December 08, 2017",United Arab Emirates,Sheikh Zayed Stadium,Lost,132,10,195.0,10.0
ODI,"February 09, 2018",Oman,Affies Park,Lost,138,10,139.0,4.0
ODI,"February 11, 2018",United Arab Emirates,United Cricket Club Ground,Won,115,6,114.0,10.0
ODI,"February 12, 2018",Kenya,Wanderers Cricket Ground,Won,178,7,177.0,8.0
ODI,"February 14, 2018",Canada,Wanderers Cricket Ground,Won,195,9,194.0,8.0
ODI,"February 15, 2018",United Arab Emirates,Wanderers Cricket Ground,Lost,270,8,277.0,4.0
ODI,"March 04, 2018",Zimbabwe,Queens Sports Club,Lost,264,8,380.0,6.0
ODI,"March 08, 2018",Scotland,Queens Sports Club,Lost,149,10,153.0,6.0
ODI,"March 12, 2018",Hong Kong,Bulawayo Athletic Club,Won,155,5,153.0,10.0
ODI,"March 15, 2018",Papua New Guinea,Old Hararians Sports Club,Won,115,4,114.0,10.0
ODI,"March 17, 2018",Netherlands,Kwekwe Sports Club,Lost,144,10,189.0,9.0
ODI,"August 30, 2018",United Arab Emirates,Kinrara Academy Oval,Lost,176,10,254.0,9.0
ODI,"January 25, 2019",United Arab Emirates,ICC Academy,Lost,113,10,116.0,7.0
ODI,"January 26, 2019",United Arab Emirates,ICC Academy,Won,242,9,97.0,10.0
ODI,"January 28, 2019",United Arab Emirates,ICC Academy,Won,255,6,254.0,6.0
ODI,"February 05, 2020",Oman,Tribhuvan University International Cricket Ground,Lost,179,10,197.0,9.0
ODI,"February 08, 2020",United States of America,Tribhuvan University International Cricket Ground,Won,190,10,155.0,10.0
ODI,"February 09, 2020",Oman,Tribhuvan University International Cricket Ground,Lost,249,8,250.0,2.0
ODI,"February 12, 2020",United States of America,Tribhuvan University International Cricket Ground,Won,36,2,35.0,10.0
ODI,"September 07, 2021",Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,135,8,134.0,10.0
ODI,"September 10, 2021",Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,233,10,82.0,10.0
ODI,"September 13, 2021",United States of America,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,231,5,230.0,9.0
ODI,"September 14, 2021",Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Lost,196,10,200.0,5.0
ODI,"September 19, 2021",Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,122,3,121.0,10.0
ODI,"March 16, 2022",Papua New Guinea,Sharjah Cricket Stadium,Won,208,8,204.0,8.0
ODI,"March 18, 2022",United Arab Emirates,Dubai International Cricket Stadium,Lost,120,10,168.0,10.0
ODI,"March 21, 2022",United Arab Emirates,Dubai International Cricket Stadium,Lost,103,10,202.0,9.0
ODI,"March 22, 2022",Papua New Guinea,Dubai International Cricket Stadium,Won,174,3,173.0,8.0
ODI,"March 25, 2022",Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,286,8,292.0,8.0
ODI,"March 26, 2022",Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,278,8,283.0,7.0
ODI,"June 09, 2022",Oman,"Moosa Cricket Stadium, Pearland",Lost,198,10,211.0,8.0
ODI,"June 11, 2022",United States of America,"Moosa Cricket Stadium, Pearland",Tied,274,10,274.0,6.0
ODI,"June 14, 2022",Oman,"Moosa Cricket Stadium, Pearland",Won,167,3,163.0,10.0
ODI,"June 15, 2022",United States of America,"Moosa Cricket Stadium, Pearland",Lost,206,10,245.0,7.0
ODI,"July 11, 2022",Namibia,"Cambusdoon New Ground, Ayr",Lost,180,10,220.0,10.0
ODI,"July 13, 2022",Scotland,"Titwood, Glasgow",Won,146,5,144.0,10.0
ODI,"July 16, 2022",Namibia,"Cambusdoon New Ground, Ayr",Lost,136,10,199.0,10.0
ODI,"July 17, 2022",Scotland,"Titwood, Glasgow",Lost,128,10,130.0,2.0
ODI,"November 14, 2022",United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,179,9,263.0,7.0
ODI,"November 16, 2022",United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Won,193,7,191.0,10.0
ODI,"November 18, 2022",United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Won,180,4,176.0,9.0
ODI,"December 02, 2022",Namibia,"United Cricket Club Ground, Windhoek",No Result,197,10,4.0,0.0
ODI,"December 04, 2022",Scotland,"United Cricket Club Ground, Windhoek",Lost,137,10,143.0,7.0
ODI,"December 07, 2022",Namibia,"United Cricket Club Ground, Windhoek",Lost,189,10,275.0,7.0
ODI,"December 08, 2022",Scotland,"United Cricket Club Ground, Windhoek",Lost,119,10,121.0,2.0
ODI,"February 14, 2023",Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Won,287,8,285.0,10.0
ODI,"February 17, 2023",Scotland,"Tribhuvan University International Cricket Ground, Kirtipur",Won,275,7,274.0,9.0
ODI,"February 18, 2023",Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Won,278,7,274.0,6.0
ODI,"February 21, 2023",Scotland,"Tribhuvan University International Cricket Ground, Kirtipur",Won,213,8,212.0,10.0
ODI,"March 02, 2023",United Arab Emirates,Dubai International Cricket Stadium,Lost,139,10,207.0,8.0
ODI,"March 03, 2023",Papua New Guinea,Dubai International Cricket Stadium,Won,182,7,179.0,10.0
ODI,"March 06, 2023",United Arab Emirates,Dubai International Cricket Stadium,Won,229,8,187.0,10.0
ODI,"March 09, 2023",Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Won,297,10,245.0,10.0
ODI,"March 12, 2023",United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Won,248,10,71.0,10.0
ODI,"March 13, 2023",Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Won,100,1,95.0,10.0
ODI,"March 16, 2023",United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Won,269,6,310.0,6.0
ODI,"April 21, 2023",Oman,"Tribhuvan University International Cricket Ground, Kirtipur",Won,310,8,226.0,9.0
ODI,"May 01, 2023",United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Won,118,3,117.0,10.0
ODI,"June 18, 2023",Zimbabwe,Harare Sports Club,Lost,290,8,291.0,2.0
ODI,"June 20, 2023",United States of America,"Takashinga Sports Club, Highfield, Harare",Won,211,4,207.0,10.0
ODI,"June 22, 2023",West Indies,Harare Sports Club,Lost,238,10,339.0,7.0
ODI,"June 24, 2023",Netherlands,"Takashinga Sports Club, Highfield, Harare",Lost,167,10,168.0,3.0
ODI,"July 02, 2023",United Arab Emirates,"Takashinga Sports Club, Highfield, Harare",Won,185,7,181.0,10.0
ODI,"July 04, 2023",Ireland,"Takashinga Sports Club, Highfield, Harare",Lost,268,9,269.0,8.0
ODI,"August 30, 2023",Pakistan,Multan Cricket Stadium,Lost,104,10,342.0,6.0
ODI,"September 04, 2023",India,Pallekele International Cricket Stadium,Lost,230,10,147.0,0.0
ODI,"February 08, 2024",Canada,"Tribhuvan University International Cricket Ground, Kirtipur",Won,224,10,217.0,10.0
ODI,"February 10, 2024",Canada,"Tribhuvan University International Cricket Ground, Kirtipur",Won,287,6,285.0,9.0
ODI,"February 12, 2024",Canada,"Tribhuvan University International Cricket Ground, Kirtipur",Won,229,1,232.0,8.0
ODI,"February 15, 2024",Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,132,10,134.0,6.0
ODI,"February 17, 2024",Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Won,141,1,137.0,10.0
ODI,"February 21, 2024",Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,168,10,172.0,8.0
ODI,"February 25, 2024",Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Lost,172,10,173.0,2.0
ODI,"September 16, 2024",Canada,"Maple Leaf North-West Ground, King City",Lost,150,10,253.0,8.0
ODI,"September 18, 2024",Oman,"Maple Leaf North-West Ground, King City",Lost,220,9,223.0,9.0
ODI,"September 22, 2024",Canada,"Maple Leaf North-West Ground, King City",Lost,181,10,186.0,5.0
ODI,"October 27, 2024",United States of America,"Grand Prairie Stadium, Dallas",Lost,286,10,291.0,7.0
ODI,"October 29, 2024",Scotland,"Grand Prairie Stadium, Dallas",Won,157,5,154.0,10.0
ODI,"November 02, 2024",United States of America,"Grand Prairie Stadium, Dallas",Lost,244,10,281.0,8.0
ODI,"November 04, 2024",Scotland,"Grand Prairie Stadium, Dallas",No Result,26,1,,
ODI,"June 02, 2025",Scotland,"Forthill, Dundee",Won,297,9,296.0,7.0
ODI,"June 04, 2025",Netherlands,"Forthill, Dundee",Won,226,5,225.0,10.0
ODI,"June 08, 2025",Scotland,"Forthill, Dundee",Lost,321,10,323.0,6.0
ODI,"June 10, 2025",Netherlands,"Forthill, Dundee",Won,236,9,210.0,10.0
ODI,"October 26, 2025",United States of America,Dubai International Cricket Stadium,Lost,156,10,262.0,6.0
ODI,"October 30, 2025",United Arab Emirates,"ICC Academy, Dubai",Lost,233,10,237.0,6.0
ODI,"November 01, 2025",United States of America,"ICC Academy, Dubai",Lost,271,10,273.0,6.0
ODI,"November 05, 2025",United Arab Emirates,"ICC Academy, Dubai",Lost,239,9,243.0,6.0
